id,season,week,homeTeam,awayTeam,homePoints,awayPoints,venueId,home_win,home_elo,away_elo,elo_diff,score_diff,is_neutral
400548268,2014,4,Washington,Georgia State,45.0,14.0,3765.0,1,1687.0,888.0,799.0,31.0,0
400548112,2014,4,Ohio,Idaho,36.0,24.0,3876.0,1,1231.0,1001.0,230.0,12.0,0
400548032,2014,4,Southern Miss,App State,21.0,20.0,3815.0,1,1015.0,1475.0,-460.0,1.0,0
400547670,2014,4,Memphis,Middle Tennessee,36.0,17.0,3805.0,1,1655.0,1312.0,343.0,19.0,0
400548111,2014,4,Toledo,Ball State,34.0,23.0,3739.0,1,1524.0,1415.0,109.0,11.0,0
400548115,2014,4,Arkansas,Northern Illinois,52.0,14.0,3887.0,1,1862.0,1519.0,343.0,38.0,0
400548386,2014,4,LSU,Mississippi State,29.0,34.0,3958.0,0,1816.0,1889.0,-73.0,-5.0,0
400547668,2014,4,Cincinnati,Miami (OH),31.0,24.0,3874.0,1,1625.0,1076.0,549.0,7.0,0
400548203,2014,4,Arkansas State,Utah State,21.0,14.0,3625.0,1,1460.0,1608.0,-148.0,7.0,0
400547858,2014,4,West Virginia,Oklahoma,33.0,45.0,3842.0,0,1635.0,1746.0,-111.0,-12.0,0
400548387,2014,4,Vanderbilt,South Carolina,34.0,48.0,3973.0,0,1298.0,1719.0,-421.0,-14.0,0
400548414,2014,4,South Alabama,Georgia Southern,6.0,28.0,3797.0,0,1307.0,1486.0,-179.0,-22.0,0
400548197,2014,4,New Mexico State,New Mexico,35.0,38.0,3601.0,0,900.0,1206.0,-306.0,-3.0,0
400560174,2014,4,Houston,UNLV,47.0,14.0,4728.0,1,1595.0,1099.0,496.0,33.0,0
400547789,2014,4,Nebraska,Miami,41.0,31.0,3834.0,1,1759.0,1634.0,125.0,10.0,0
400547742,2014,4,Florida State,Clemson,23.0,17.0,3697.0,1,1919.0,1902.0,17.0,6.0,0
400548266,2014,4,Arizona,California,49.0,45.0,3619.0,1,1723.0,1376.0,347.0,4.0,0
400548194,2014,4,Boise State,Louisiana,34.0,9.0,3653.0,1,1824.0,1430.0,394.0,25.0,0
400548198,2014,4,Oregon State,San Diego State,28.0,7.0,3893.0,1,1438.0,1509.0,-71.0,21.0,0
400548267,2014,4,Washington State,Oregon,31.0,38.0,3820.0,0,1382.0,2154.0,-772.0,-7.0,0
400547859,2014,5,Oklahoma State,Texas Tech,45.0,35.0,3646.0,1,1601.0,1358.0,243.0,10.0,0
400550418,2014,5,Georgia Southern,App State,34.0,14.0,3608.0,1,1486.0,1475.0,11.0,20.0,0
400548269,2014,5,Arizona State,UCLA,27.0,62.0,3947.0,0,1775.0,1785.0,-10.0,-35.0,0
400548036,2014,5,Old Dominion,Middle Tennessee,28.0,41.0,3918.0,0,1192.0,1312.0,-120.0,-13.0,0
400548200,2014,5,New Mexico,Fresno State,24.0,35.0,3971.0,0,1206.0,1331.0,-125.0,-11.0,0
400547679,2014,5,Rutgers,Tulane,31.0,6.0,3754.0,1,1465.0,1217.0,248.0,25.0,0
400547930,2014,5,Purdue,Iowa,10.0,24.0,3907.0,0,1275.0,1599.0,-324.0,-14.0,0
400547678,2014,5,Wisconsin,South Florida,27.0,10.0,347.0,1,1847.0,1254.0,593.0,17.0,0
400548381,2014,5,Georgia,Tennessee,35.0,32.0,3917.0,1,2034.0,1670.0,364.0,3.0,0
400547955,2014,5,Michigan State,Wyoming,56.0,14.0,3936.0,1,2025.0,1191.0,834.0,42.0,0
400548383,2014,5,Kentucky,Vanderbilt,17.0,7.0,3683.0,1,1351.0,1298.0,53.0,10.0,0
400547978,2014,5,Penn State,Northwestern,6.0,29.0,3632.0,0,1584.0,1473.0,111.0,-23.0,0
400547677,2014,5,SMU,TCU,0.0,56.0,3735.0,0,971.0,2194.0,-1223.0,-56.0,0
400547861,2014,5,Kansas State,UTEP,58.0,28.0,3636.0,1,1873.0,1288.0,585.0,30.0,0
400547732,2014,5,Boston College,Colorado State,21.0,24.0,3615.0,0,1546.0,1552.0,-6.0,-3.0,0
400547827,2014,5,Virginia Tech,Western Michigan,35.0,17.0,3799.0,1,1611.0,1416.0,195.0,18.0,0
400547811,2014,5,Pittsburgh,Akron,10.0,21.0,3752.0,0,1547.0,1221.0,326.0,-11.0,0
400547919,2014,5,Indiana,Maryland,15.0,37.0,3830.0,0,1370.0,1493.0,-123.0,-22.0,0
400548116,2014,5,Massachusetts,Bowling Green,42.0,47.0,3985.0,0,1110.0,1319.0,-209.0,-5.0,0
400548382,2014,5,Texas A&M,Arkansas,35.0,28.0,3687.0,1,1692.0,1862.0,-170.0,7.0,0
400548119,2014,5,Buffalo,Miami (OH),35.0,27.0,3965.0,1,1353.0,1076.0,277.0,8.0,0
400547764,2014,5,NC State,Florida State,41.0,56.0,3670.0,0,1564.0,1919.0,-355.0,-15.0,0
400548033,2014,5,UAB,Florida International,20.0,34.0,3803.0,0,1347.0,1231.0,116.0,-14.0,0
