year,team,conference,elo
2018,Texas Tech,Big 12,1594
2018,Toledo,Mid-American,1550
2018,Troy,Sun Belt,1560
2018,Tulane,American Athletic,1426
2018,Tulsa,American Athletic,1319
2018,UAB,Conference USA,1556
2018,UCF,American Athletic,1909
2018,UCLA,Pac-12,1397
2018,UConn,American Athletic,837
2018,UL Monroe,Sun Belt,1270
2018,UNLV,Mountain West,1164
2018,USC,Pac-12,1606
2018,Utah,Pac-12,1736
2018,Utah State,Mountain West,1847
2018,UTEP,Conference USA,972
2018,UTSA,Conference USA,1053
2018,Vanderbilt,SEC,1551
2018,Virginia,ACC,1653
2018,Virginia Tech,ACC,1530
2018,Wake Forest,ACC,1618
2018,Washington,Pac-12,1859
2018,Washington State,Pac-12,1783
2018,Western Kentucky,Conference USA,1297
2018,Western Michigan,Mid-American,1228
2018,West Virginia,Big 12,1788
2018,Wisconsin,Big Ten,1764
2018,Wyoming,Mountain West,1489
2019,Air Force,Mountain West,1717
2019,Akron,Mid-American,756
2019,Alabama,SEC,2193
2019,App State,Sun Belt,1794
2019,Arizona,Pac-12,1331
2019,Arizona State,Pac-12,1574
2019,Arkansas,SEC,1211
2019,Arkansas State,Sun Belt,1396
2019,Army,FBS Independents,1492
2019,Auburn,SEC,1923
2019,Ball State,Mid-American,1399
2019,Baylor,Big 12,1825
2019,Boise State,Mountain West,1707
2019,Boston College,ACC,1447
2019,Bowling Green,Mid-American,827
2019,Buffalo,Mid-American,1593
2019,BYU,FBS Independents,1520
2019,California,Pac-12,1499
2019,Central Michigan,Mid-American,1372
2019,Charlotte,Conference USA,1315
2019,Cincinnati,American Athletic,1759
2019,Clemson,ACC,2343
2019,Coastal Carolina,Sun Belt,1224
2019,Colorado,Pac-12,1361
2019,Colorado State,Mountain West,1364
2019,Duke,ACC,1366
2019,East Carolina,American Athletic,1106
2019,Eastern Michigan,Mid-American,1348
2019,Florida,SEC,1917
2019,Florida Atlantic,Conference USA,1777
2019,Florida International,Conference USA,1324
2019,Florida State,ACC,1494
2019,Fresno State,Mountain West,1474
2019,Georgia,SEC,1998
2019,Georgia Southern,Sun Belt,1447
2019,Georgia State,Sun Belt,1207
2019,Georgia Tech,ACC,1262
2019,Hawai'i,Mountain West,1447
2019,Houston,American Athletic,1452
2019,Illinois,Big Ten,1412
2019,Indiana,Big Ten,1609
2019,Iowa,Big Ten,1924
2019,Iowa State,Big 12,1744
2019,James Madison,CAA,1479
2019,Kansas,Big 12,1222
2019,Kansas State,Big 12,1698
2019,Kent State,Mid-American,1299
2019,Kentucky,SEC,1724
2019,Liberty,FBS Independents,1335
2019,Louisiana,Sun Belt,1727
2019,Louisiana Tech,Conference USA,1554
2019,Louisville,ACC,1405
2019,LSU,SEC,2342
2019,Marshall,Conference USA,1446
2019,Maryland,Big Ten,1185
2019,Massachusetts,FBS Independents,683
2019,Memphis,American Athletic,1797
2019,Miami,ACC,1542
2019,Miami (OH),Mid-American,1367
2019,Michigan,Big Ten,1951
2019,Michigan State,Big Ten,1577
2019,Middle Tennessee,Conference USA,1393
2019,Minnesota,Big Ten,1805
2019,Mississippi State,SEC,1575
2019,Missouri,SEC,1638
2019,Navy,American Athletic,1688
2019,NC State,ACC,1270
2019,Nebraska,Big Ten,1602
2019,Nevada,Mountain West,1196
2019,New Mexico,Mountain West,1095
2019,New Mexico State,FBS Independents,961
2019,North Carolina,ACC,1672
